timeline,character_name,english_dialogue,bengali_dialogue
"00:00:39,623 --> 00:00:42,042",JAKE,"When I was lying there in the VA hospital,","যখন আমি ভি এ হাসপাতাল এর মাঝে শুয়েছিলাম,"
"00:00:42,167 --> 00:00:45,128",JAKE,"with a big hole blown through the middle of my life,","আমার জীবনের মধ্যে দিয়ে একটি বড় গর্ত বিস্ফোরিত হওয়ার সাথে সাথে,"
"00:00:45,921 --> 00:00:48,423",JAKE,I started having these dreams of flying.,আমি এই উড়ন্ত স্বপ্নগুলো দেখতে শুরু করেছিলাম.
"00:00:49,800 --> 00:00:51,260",JAKE,I was free.,আমি ছিলাম স্বাধীন.
"00:00:54,471 --> 00:00:58,058",JAKE,"Sooner or later, though, you always have to wake up.","আজ অথবা কাল, যদিও, তোমার সর্বদা জেগে থাকতে হবে."
"00:01:07,818 --> 00:01:10,737",JAKE,"They can fix a spinal, if you got the money,","তারা একটি মেরুদন্ড দৃঢ় করতে পারে, যদি তোমার কাছে টাকা থাকে,"
"00:01:10,821 --> 00:01:13,615",JAKE,"but not on vet benefits, not in this economy.","কিন্ত পশু সঙ্ক্রান্ত লাভে নয়, এই অর্থনীতিতে নয়."
"00:01:15,117 --> 00:01:17,828",JAKE,A VA check and 12 bucks will get you a cup of coffee.,একটি ভি এ চেক এবং ১২ টাকা তোমাকে এক কাপ কফি পাইয়ে দিতে পারে.
"00:01:18,495 --> 00:01:20,664",JAKE,I'm what they call… waitlisted.,আমি সেটা তারা যেটা ডাকে ... অপেক্ষমান তালিকাভুক্ত.
"00:01:29,715 --> 00:01:34,219",WOMAN [ON TV],"The Bengal Tiger, extinct for over a century is making a comeback.","বেঙ্গল টাইগার, এক শতাব্দী ধরে লুপ্ত যেটা পুনরায় আর্বিভাব হওয়ার মত গুনসম্পন্ন হয়ে উঠেছে."
"00:01:34,303 --> 00:01:38,556",WOMAN [ON TV],These cloned tiger cubs at the Beijing Zoo are the latest of a number of species,বেইজিং চিড়িয়াখানার এই ক্লোনড বাঘের বাচ্চাগুলো অসংখ্য প্রজাতির মধ্যে একদম সাম্প্রতিক।
"00:01:38,640 --> 00:01:42,435",WOMAN [ON TV],that have been cloned back into existence in the past five years.,যেগুলো অস্তিত্ব টিকিয়ে রাখার জন্য গত ৫ বছরে ক্লোনড করা হয়েছে.
"00:01:42,519 --> 00:01:45,271",JAKE,I became a marine for the hardship.,আমি কষ্টকর পরিস্থিতিতে একজন নৌসেনা হয়েছিলাম.
"00:01:45,355 --> 00:01:47,774",JAKE,To be hammered on the anvil of life.,জীবনের কামারখানাতে সর্বশক্তিতে আঘাতপ্রাপ্ত হওয়ার জন্য.
"00:01:49,109 --> 00:01:52,487",JAKE,I told myself I can pass any test a man can pass.,আমি নিজেকে বলতাম আমি যেকোনো পরিক্ষায় কৃতকার্য হতে পারি যেগুলো মানুষ পারে।
"00:01:55,365 --> 00:02:00,829",ALL,[CHANTING] Jake! Jake! Jake! Jake! Jake!,জ্যাক! জ্যাক! জ্যাক! জ্যাক! জ্যাক!
"00:02:04,333 --> 00:02:06,626",JAKE,"Let's get it straight, upfront.","সোজাসুজি ভাবে, মুক্তভাবে."
"00:02:06,710 --> 00:02:08,170",JAKE,I don't want your pity.,আমি তোমাদের করুনা চাই না.
"00:02:09,713 --> 00:02:12,424",JAKE,"You want a fair deal, you're on the wrong planet.","তুমি যদি ন্যায্য ব্যাবহার চাও, তাহলে তুমি ভুল গ্রহে আছ."
"00:02:17,346 --> 00:02:18,847",JAKE,The strong prey on the weak.,দূর্বলের সবচে বড় ভয়.
"00:02:19,890 --> 00:02:21,440",JAKE,That's just the way things are.,এটা শুধুমাত্র পরিস্থিতির জন্য একটা রাস্তা।
"00:02:23,018 --> 00:02:24,645",JAKE,And nobody does a damn thing.,এবং কেউ কিছু পরোয়া করে না.
"00:02:42,329 --> 00:02:44,164",WOMAN,Get off! Get off of him!,সরে যাও! তার থেকে সরে যাও!
"00:02:44,831 --> 00:02:49,419",JAKE,All I ever wanted in my sorry-ass life was a single thing worth fighting for.,আমার এই দুঃখময় জীবনে আমি সবসময় চাইতাম শুধুমাত্র একটু মূল্য যার জন্য আমি যুদ্ধ করছি.
"00:03:04,434 --> 00:03:06,603",BOUNCER,I hope you realized you just lost yourself a customer.,আমি আশা করছি তুমি বুঝতে পেরেছো যে তুমি এইমাত্র একজন খদ্দের হারিয়েছো.
"00:03:08,188 --> 00:03:10,356",JAKE,Candy-ass bitch.,(গালি)
"00:03:12,818 --> 00:03:14,768",JAKE,"If it ain't raining, we ain't training.","যদি বৃষ্টি না হতো, আমরা প্রতিযোগিতা করতাম না।"
"00:03:28,458 --> 00:03:30,793",AGENT 1,-It doesn't look like him. -It's him.,- এ দেখতে তার মতো না. - এ সে...ই.
"00:03:30,877 --> 00:03:33,129",AGENT 1,You Jake Sully?,তুমি জ্যাক সুলি?
"00:03:33,213 --> 00:03:35,465",JAKE,Step off. You're ruining my good mood.,পিছনে সরে দাড়াও. তুমি আমার খোশমেজাজ নষ্ট করছ.
"00:03:36,383 --> 00:03:37,583",AGENT 2,It's about your brother.,এটা তোমার ভাই এর সম্বন্ধে.
"00:04:14,004 --> 00:04:15,464",JAKE,"Jesus, Tommy.","জেসাস, টমি."
"00:04:15,839 --> 00:04:17,674",JAKE,The strong prey on the weak.,দূর্বলের সবচে বড় ভয়.
"00:04:18,550 --> 00:04:20,927",JAKE,A guy with a knife took all Tommy would ever be,একজন ছুরিওলা লোক টমির সব নিয়ে গেছে।
"00:04:21,803 --> 00:04:23,597",JAKE,for the paper in his wallet.,তার ওয়ালেট এর কাগজ পত্রের জন্য.
"00:04:25,432 --> 00:04:27,767",JAKE,The concern of the suits was touching.,স্যুটের ব্যাপারে উদ্বেগও মর্মস্পর্শী.
"00:04:27,851 --> 00:04:31,354",AGENT 1,Your brother represented a significant investment.,তোমার ভাই একটা গুরুত্বপূর্ণ অনুসন্ধানে প্রতিনিধিত্ব করছিলো।
"00:04:31,438 --> 00:04:33,898",AGENT 1,We'd like to talk to you about taking over his contract.,আমরা তার চুক্তিটি তুমি নেয়ার ব্যাপারে কথা বলতে আগ্রহী.
"00:04:33,982 --> 00:04:38,445",AGENT 2,"And since your genome is identical to his, you could step into his shoes,","এবং যেহেতু তোমার জিনোম তার সাথে হুবহু এক, তুমি তার রাস্তায় হাটতে পারো,"
"00:04:39,654 --> 00:04:41,031",AGENT 2,so to speak.,অনেক কিছু বলার আছে.
"00:04:41,865 --> 00:04:44,743",AGENT 1,It'd be a fresh start on a new world.,এটা একটা নতুন পৃথিবীতে নতুন শুরু।
"00:04:45,035 --> 00:04:48,705",AGENT 1,You could do something important. You can make a difference.,তুমি গুরুত্বপূর্ণ কিছু করতে পারো. তুমি ভিন্ন কিছু করতে পারো.
"00:04:53,960 --> 00:04:55,879",AGENT 1,And the pay is good.,এবং বেতনও ভালো.
"00:04:56,505 --> 00:04:57,506",AGENT 1,Very good.,খুব ভালো.
"00:04:58,757 --> 00:05:00,657",JAKE,"Tommy was the scientist, not me.","টমি বিজ্ঞানী ছিলো, আমি না."
"00:05:01,259 --> 00:05:05,096",JAKE,He was the one who wanted to get shot light-years out in space to find the answers.,সে একজন ছিল যে আলোকবর্ষ দুরের মহাজগত নিয়ে কিছু একটা করতে চেয়েছিলো সমাধান খুজতে.
