timeline,character_name,english_dialogue,bengali_dialogue
"00:01:56,484 --> 00:01:59.387",MAN,13 meters. You should see it.,১৩ মিটার দুরে তুমি এটা দেখতে পাবে ।
"00:02:12,166 --> 00:02:13.867",MAN,"Okay, take her up and over the bow rail.","ঠিক আছে, এটাকে উপরে উঠাও আর জাহাজের সামনের দিকে নিয়ে চলো"
"00:02:16,337 --> 00:02:19.673",MAN (OVER RADIO),"Mir 2, we're going over the bow. Stay with us.","মির-২, আমরা জাহাজের সামনের দিকে যাচ্ছি । আমাদের সাথে থাকুন ।"
"00:02:53,707 --> 00:02:56.277",MAN,"Okay, quiet. We're rolling.","ঠিক আছে, শান্ত থাক । আমরা ঘুরে দেখছি ।"
"00:02:56,344 --> 00:02:59.847",LOVETT,Seeing her coming out of the darkness like a ghost ship...,এটাকে অন্ধকার দেখাচ্ছে যেন ভূতুড়ে জাহাজের মত...
"00:02:59,913 --> 00:03:01.582",LOVETT,...still gets me every time.,...এখন পর্যন্ত আমার কাছে সবসময় এটাই মনে হচ্ছে ।
"00:03:03,351 --> 00:03:07.621",LOVETT,To see the sad ruin of the great ship sitting here...,এখানে সেই বিখ্যাত জাহাজটির করুণ ধ্বংসবশেষ দেখ...
"00:03:07,688 --> 00:03:09.990",LOVETT,...where she landed at 2:30 in the morning,...সে এখানে ডুবে গিয়েছিল সকাল ২.৩০ মিনিটে
"00:03:10,057 --> 00:03:12.460",LOVETT,"of April 15, 1912...","১৫ এপ্রিল, ১৯১২..."
"00:03:12,526 --> 00:03:15.429",LOVETT,...after her long fall...,...তার ডুবে যাওয়ার দীর্ঘদিন পর...
"00:03:15,496 --> 00:03:18.332",LOVETT,...from the world above.,...পৃথিবীর বুকে ।
"00:03:18,399 --> 00:03:19.733",BODINE,"You are so full of shit, boss.",তুমি সত্যিই খুব হতাশ বস ।
"00:03:50,097 --> 00:03:54.167",LOVETT,Dive 6. Here we are again on the deck of Titanic.,ডাইভ-৬ আমাদের আবার টাইটানিকের উপরে যেতে হবে ।
"00:03:54,234 --> 00:03:58.339",LOVETT (V.O.),"2½ miles down. 3,821 meters.","২.৫০ মাইল নীচে - ৩,৮২১ মিটার"
"00:03:58,406 --> 00:04:04.177",LOVETT (V.O.),The pressure outside is 3½ tons per square inch.,বাইরে প্রতি ইঞ্চিতে ৩% টন চাপ দিচ্ছে
"00:04:04,244 --> 00:04:06.079",LOVETT (V.O.),These windows are 9 inches thick.,এই জানালাগুলো ৯ ইঞ্চি মোটা ।
"00:04:06,146 --> 00:04:10.318",LOVETT (V.O.),"If they go, it's sayonara in two microseconds.","তারা যদি যেতে পারে, এই ক্যামেরা প্রতি দুই মাইক্রোসেকেন্ডে ছবি নিতে পারবে ।"
"00:04:10,384 --> 00:04:12.786",BODINE,"All right, enough of that bullshit.","সবঠিক আছে, বাজে কথা বলা যথেষ্ট হয়েছে ।"
"00:04:26,734 --> 00:04:31.539",LOVETT,Just put her down on the roof of the officers' quarters like yesterday.,এটাকে শুধু অফিসার কোয়াটারের ছাদের উপরে নামাও যেভাবে কাল নামিয়েছিলে ।
"00:04:31,605 --> 00:04:34.475",MAN (OVER RADIO),"Mir 2, we're landing right over the Grand Staircase.","মির-২, আমরা প্রধান সিঁড়ির উপরে নেমেছি ।"
"00:04:34,542 --> 00:04:36.377",LOVETT,You guys set to launch?,তোমরা ভেতরে যাওয়ার জন্য প্রস্তুত ?
"00:04:36,444 --> 00:04:39.847",MAN (OVER RADIO),"Yeah, Brock. Launching Dunkin now. Go, Charlie.","ঠিক আছে বোরাক, তোমরা এখন ভেতরে যাও । এগিয়ে যাও চার্লি ।"
"00:04:47,955 --> 00:04:50.591",TECHNICIAN,"All right, tether out. Tether out.","সবঠিক আছে, অনুসন্ধানকারী যন্ত্র বাইরে নিয়ে এসো । অনুসন্ধানকারী যন্ত্র বাইরে নিয়ে এসো ।"
"00:04:50,658 --> 00:04:53.661",TECHNICIAN,"Okay, Brock, we're dropping down along the hull.","ঠিক আছে বোরাক, আমরা জাহাজের কাঠামো বরাবর এটাকে নিচে নামিয়ে দিচ্ছে ।"
"00:04:56,296 --> 00:05:00.568",LOVETT,"Yeah, roger that. Okay, drop down and go into the first class gangway door.","হ্যাঁ, রজার এটা ঠিক আছে, নীচে নামো আর প্রধান দরজার কাছে যাও"
