timeline,character_name,english_dialogue,bengali_dialogue
"00:03:01,349 --> 00:03:03,151",PETER,She looks at me every day.,সে প্রতিদিন আমার দিকে তাকায়
"00:03:03,284 --> 00:03:05,453",PETER,Mary Jane Watson.,মেরি জেন ওয়াটসন
"00:03:05,586 --> 00:03:06,754",PETER,"Oh, boy.","ওহ, সে যদি জানতো আমি তাকে কতটা অনুভব করি"
"00:03:06,888 --> 00:03:09,357",PETER,If she only knew how I felt about her.,কিন্তু সে কখনও জানতে পারবে না
"00:03:09,490 --> 00:03:11,526",PETER,But she can never know.,আমি জীবনে একটি গুরুদায়িত্ব নিয়ে পথ চলার সিদ্ধান্ত নিয়েছি
"00:03:11,659 --> 00:03:14,996",PETER,"I made a choice once to live a life of responsibility,",এমন এক জীবন যার অংশ সে হতে পারে না
"00:03:15,129 --> 00:03:16,631",PETER,a life she can never be a part of.,কে আমি ?
"00:03:16,764 --> 00:03:18,800",PETER,Who am I?,"আমি স্পাইডার-ম্যান, যার দায়িত্ব আছে"
"00:03:18,933 --> 00:03:21,836",PETER,"I'm Spider-Man, given a job to do.",এবং আমি পিটার পার্কার এবং আমারও একটা চাকরি আছে
"00:03:21,970 --> 00:03:24,906",PETER,"And I'm Peter Parker, and I, too, have a job.","পার্কার, পার্কার !"
"00:03:25,039 --> 00:03:26,908",MAN,Parker! Parker!,"না, না, না, থামো ! থামো !"
"00:03:27,041 --> 00:03:28,843",PETER,"No. No, no, no, no stop! Stop!","পার্কার, তুমি দেরী করেছো, সবসময় দেরী করো"
"00:03:30,545 --> 00:03:31,980",MAN,"Parker, you're late, man.","আমি দুঃখিত, মি. আজিজ একটু সমস্যা হয়েছিল"
"00:03:32,113 --> 00:03:33,514",MAN,"Always late, huh?",আবার সমস্যা সবসময় তোমার সাথে সমস্যা লেগেই থাকে
"00:03:33,648 --> 00:03:36,484",PETER,"I'm sorry, Mr. Aziz, there was a... disturbance.","এসো, ২১ মিনিট আগে, অর্ডার এসেছে"
"00:03:36,617 --> 00:03:37,852",MR. AZIZ,"Disturbance, another disturbance.","হারম্যাটন, বারটন এবং স্মিথে এক্সট্রা লার্জ ডিপ-ডিস পিজ্জাস্"
"00:03:37,986 --> 00:03:39,053",MR. AZIZ,Always a disturbance with you.,"৮ মিনিটের মধ্যে, আমি জো’ ২৯-মিনিট গ্যারান্টি চালু করে দিয়েছি"
"00:03:39,187 --> 00:03:42,957",MR. AZIZ,"Come on. Twenty-one minutes ago, in comes order, Harmattan, Burton & Smith.","তারপর, এই পিজ্জাগুলোর জন্য আমি কোন পয়সা পাচ্ছি না..."
"00:03:43,091 --> 00:03:44,792",MR. AZIZ,Eight extra-large deep-dish pizzas.,...কিন্তু আমি পিজ্জা ইয়ার্ট থেকে চিরতরে কাস্টমার হারাচ্ছি
"00:03:44,926 --> 00:03:48,663",MR. AZIZ,"In eight minutes, I am defaulting on Joe's 29-minute guarantee.","তুমি আমার শেষ ভরসা, ঠিক আছে ? তোমাকে এটা সময়ের মধ্যে করতে হবে"
"00:03:48,796 --> 00:03:51,532",MR. AZIZ,"Then not only am I receiving no money for these pizzas,","পিটার, তুমি একজন চমৎকার মানুষ কিন্তু তোমার উপর নির্ভর করা যায় না"
"00:03:51,666 --> 00:03:53,501",MR. AZIZ,but I will lose the customer forever to Pizza Yurt.,এটা তোমার শেষ সুযোগ
